MatchDate,Opposition,Ground,Runs,Mins,Balls Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Match,Year
16-Mar-12,Bangladesh,Dhaka,114,205,147,12,1,77.55,2,caught,1,462,2012
13-Mar-12,Sri Lanka,Dhaka,6,25,19,1,0,31.57,2,caught,1,461,2012
28-Feb-12,Sri Lanka,Hobart,39,45,30,5,0,130,2,lbw,2,460,2012
26-Feb-12,Australia,Sydney,14,34,15,2,0,93.33,2,run out,2,459,2012
21-Feb-12,Sri Lanka,Brisbane,22,33,23,3,0,95.65,2,bowled,2,458,2012
19-Feb-12,Australia,Brisbane,3,21,12,0,0,25,2,caught,2,457,2012
14-Feb-12,Sri Lanka,Adelaide,15,25,24,2,0,62.5,2,caught,2,456,2012
08-Feb-12,Sri Lanka,Perth,48,87,63,5,0,76.19,2,bowled,2,455,2012
05-Feb-12,Australia,Melbourne,2,9,6,0,0,33.33,2,caught,2,454,2012
02-Apr-11,Sri Lanka,Mumbai,18,21,14,2,0,128.57,2,caught,2,453,2011
30-Mar-11,Pakistan,Mohali,85,160,115,11,0,73.91,2,caught,1,452,2011
24-Mar-11,Australia,Ahmedabad,53,93,68,7,0,77.94,2,caught,2,451,2011
20-Mar-11,West Indies,Chennai,2,4,4,0,0,50,2,caught,1,450,2011
12-Mar-11,South Africa,Nagpur,111,184,101,8,3,109.9,2,caught,1,449,2011
09-Mar-11,Netherlands,Delhi,27,45,22,6,0,122.72,2,caught,2,448,2011
06-Mar-11,Ireland,Bangalore,38,91,56,4,0,67.85,2,lbw,2,447,2011
27-Feb-11,England,Bangalore,120,170,115,10,5,104.34,2,caught,1,446,2011
19-Feb-11,Bangladesh,Dhaka,28,46,29,4,0,96.55,2,run out,1,445,2011
15-Jan-11,South Africa,Johannesburg,24,78,44,2,0,54.54,2,bowled,1,444,2011
12-Jan-11,South Africa,Durban,7,16,11,0,0,63.63,2,caught,2,443,2011
24-Feb-10,South Africa,Gwalior,200,226,147,25,3,136.05,2,not out,1,442,2010
21-Feb-10,South Africa,Jaipur,4,,5,1,0,80,2,run out,1,441,2010
24-Dec-09,Sri Lanka,Kolkata,8,,8,2,0,100,2,caught,2,440,2009
21-Dec-09,Sri Lanka,Cuttack,96,187,104,13,0,92.3,2,not out,2,439,2009
18-Dec-09,Sri Lanka,Nagpur,43,76,52,4,0,82.69,2,stumped,1,438,2009
15-Dec-09,Sri Lanka,Rajkot,69,91,63,10,1,109.52,2,bowled,1,437,2009
08-Nov-09,Australia,Guwahati,10,23,17,2,0,58.82,2,caught,1,436,2009
05-Nov-09,Australia,Hyderabad (Deccan),175,210,141,19,4,124.11,2,caught,2,435,2009
02-Nov-09,Australia,Mohali,40,86,68,6,0,58.82,2,lbw,2,434,2009
31-Oct-09,Australia,Delhi,32,63,47,2,0,68.08,2,run out,2,433,2009
28-Oct-09,Australia,Nagpur,4,14,8,1,0,50,2,caught,1,432,2009
25-Oct-09,Australia,Vadodara,14,40,29,2,0,48.27,2,caught,2,431,2009
28-Sep-09,Australia,Centurion,-1,-1,-1,-1,-1,-1,-1,-1,,430,2009
26-Sep-09,Pakistan,Centurion,8,19,14,1,0,-1,-1,caught,2,429,2009
14-Sep-09,Sri Lanka,Colombo (RPS),138,214,133,10,1,-1,-1,lbw,1,428,2009
12-Sep-09,Sri Lanka,Colombo (RPS),27,63,33,5,0,-1,-1,caught,2,427,2009
11-Sep-09,New Zealand,Colombo (RPS),46,81,55,6,0,-1,-1,caught,2,426,2009
08-Mar-09,New Zealand,Christchurch,163,206,133,16,5,-1,-1,retired not out,1,425,2009
06-Mar-09,New Zealand,Wellington,61,100,69,7,1,-1,-1,lbw,1,424,2009
03-Mar-09,New Zealand,Napier,20,43,23,2,0,-1,-1,caught,1,423,2009
03-Feb-09,Sri Lanka,Colombo (RPS),7,9,12,0,1,-1,-1,lbw,1,422,2009
31-Jan-09,Sri Lanka,Colombo (RPS),6,11,9,0,0,-1,-1,lbw,1,421,2009
28-Jan-09,Sri Lanka,Dambulla,5,15,16,0,0,-1,-1,lbw,2,420,2009
26-Nov-08,England,Cuttack,50,99,57,6,0,87.71,2,bowled,2,419,2008
23-Nov-08,England,Bangalore,11,40,21,2,0,52.38,2,bowled,1,418,2008
04-Mar-08,Australia,Brisbane,91,176,121,7,0,75.2,2,caught,1,417,2008
02-Mar-08,Australia,Sydney,117,235,120,10,0,97.5,2,not out,2,416,2008
26-Feb-08,Sri Lanka,Hobart,63,92,54,10,0,116.66,2,caught,2,415,2008
24-Feb-08,Australia,Sydney,2,3,3,0,0,66.66,2,lbw,2,414,2008
19-Feb-08,Sri Lanka,Adelaide,0,6,2,0,0,0,2,bowled,2,413,2008
17-Feb-08,Australia,Adelaide,5,23,15,1,0,33.33,2,lbw,2,412,2008
12-Feb-08,Sri Lanka,Canberra,32,41,30,4,0,106.66,2,caught,1,411,2008
10-Feb-08,Australia,Melbourne,44,123,54,3,0,81.48,2,caught,2,410,2008
05-Feb-08,Sri Lanka,Brisbane,35,70,52,2,0,67.3,2,bowled,1,409,2008
03-Feb-08,Australia,Brisbane,10,30,17,1,0,58.82,2,hit wicket,1,408,2008
18-Nov-07,Pakistan,Jaipur,30,54,27,6,0,111.11,2,caught,2,407,2007
15-Nov-07,Pakistan,Gwalior,97,149,102,16,0,95.09,2,bowled,2,406,2007
11-Nov-07,Pakistan,Kanpur,29,54,27,5,0,107.4,2,caught,1,405,2007
08-Nov-07,Pakistan,Mohali,99,130,91,14,1,108.79,2,caught,1,404,2007
05-Nov-07,Pakistan,Guwahati,4,14,7,1,0,57.14,2,lbw,2,403,2007
17-Oct-07,Australia,Mumbai,21,52,36,4,0,58.33,2,bowled,2,402,2007
